Festival,Year,Track,Title,Agency,Brand,Country,Award,Credits
El Ojo de Iberoamerica,2024,Film,The power of a fragrance,LOLA MullenLowe,Axe-Lynx,Espana,El GRAN OJO FILM,Prod Czarbe Otro Realizador-a Lionel Goldstein Prod Audio Sonido Senstudio Otro Postprod Czarbe Otro Pais Espana
El Ojo de Iberoamerica,2024,Film,The last barf bag,FCB Chicago,Dramamine,Estados Unidos,El GRAN OJO FILM,Prod Rakish Realizador-a Sunny Sixteen Prod Audio Sonido JSM Music Postprod 456 Studios Otras Empresas 360PR -The Shipyard -Extra Packaging -SPCFuel Pais Estados Unidos
El Ojo de Iberoamerica,2024,Film,Find Your Summer,LOLA MullenLowe,Magnum Ice Cream,Espana,ORO,Prod MJZ Realizador-a Juan Cabral Prod Audio Sonido Big Sync Postprod Glassworks Otras Empresas Mindshare Otro Pais Espana
El Ojo de Iberoamerica,2024,Film,La espera,1984,de Kraft Heinz Chile,Chile,BRONCE,Prod Fabula Realizador-a Santiago Correa Pais Chile
El Ojo de Iberoamerica,2024,Film,Stick to the original,LOLA MullenLowe,Magnum,Espana,BRONCE,Prod PROPPA - BACON Otro Realizador-a Martin Werner Prod Audio Sonido Big Sync Postprod BaconX Otro Pais Espana
El Ojo de Iberoamerica,2024,Film,The power of a fragrance,LOLA MullenLowe,Axe-Lynx,Espana,ORO,Prod Czarbe Otro Realizador-a Lionel Goldstein Prod Audio Sonido Senstudio Otro Postprod Czarbe Otro Pais Espana
El Ojo de Iberoamerica,2024,Film,Tulipan Teniendo sexo podemos reactivar la economia-,Zurda Agency,Tulipan,Argentina,PLATA,Prod Retina Postprod Retina Pais Argentina
El Ojo de Iberoamerica,2024,Film,The Autograph,LOLA MullenLowe,Persil,Espana,BRONCE,Prod Rebolucion Realizador-a Vellas Prod Audio Sonido Big Sync Music Postprod Rebolucion Pais Espana
El Ojo de Iberoamerica,2024,Film,Sucesion,DAVID Buenos Aires,HSBC,Argentina,ORO,Prod argentinacine Realizador-a Augusto Gimenez Zapiola- Ale Rey Prod Audio Sonido Bigotes Musica Postprod argentinacine Pais Argentina
El Ojo de Iberoamerica,2024,Film,Taste ID-,GUT Buenos Aires,e Globant Argentina,Estados Unidos,PLATA,Prod Rebolucion Realizador-a Luis Gerard Pais Estados Unidos
